기간,분류,전시회 관람,박물관 관람,음악 및 무용발표회 관람,전통예술공연 관람,연극공연 관람,극장에서 영화관람,대중공연 관람,스포츠경기 관람
2020,이혼/사별/기타,0.09,0.11,0.02,0.08,0.11,0.82,0.07,0.08
2020,도심권,0.43,0.39,0.18,0.14,0.37,2.46,0.17,0.33
2020,동북권,0.27,0.24,0.09,0.07,0.35,2.26,0.14,0.25
2020,서북권,0.3,0.25,0.1,0.06,0.34,2.44,0.16,0.3
2020,서남권,0.31,0.29,0.12,0.11,0.39,2.62,0.18,0.32
2020,동남권,0.42,0.34,0.18,0.12,0.45,2.72,0.18,0.36
2020,종로구,0.44,0.34,0.18,0.1,0.32,2.58,0.1,0.21
2020,중구,0.25,0.19,0.08,0.08,0.31,2.16,0.09,0.22
2020,용산구,0.54,0.53,0.24,0.19,0.44,2.54,0.27,0.48
2020,성동구,0.28,0.22,0.09,0.07,0.42,2.33,0.15,0.31
2020,광진구,0.31,0.31,0.1,0.06,0.39,2.7,0.21,0.36
2020,동대문구,0.21,0.24,0.08,0.06,0.28,2.14,0.12,0.22
2020,중랑구,0.17,0.18,0.06,0.04,0.29,2.12,0.1,0.23
2020,성북구,0.4,0.25,0.1,0.06,0.46,2.87,0.15,0.22
2020,강북구,0.21,0.18,0.11,0.07,0.28,1.84,0.17,0.2
2020,도봉구,0.25,0.2,0.07,0.06,0.3,2.3,0.07,0.19
2020,노원구,0.28,0.28,0.12,0.14,0.36,1.83,0.12,0.25
2020,은평구,0.24,0.21,0.09,0.07,0.31,2.28,0.15,0.27
2020,서대문구,0.28,0.25,0.1,0.06,0.29,2.52,0.15,0.25
2020,마포구,0.38,0.29,0.12,0.05,0.42,2.57,0.2,0.39
2020,양천구,0.36,0.41,0.19,0.24,0.41,2.85,0.21,0.36
2020,강서구,0.28,0.3,0.09,0.07,0.29,2.47,0.13,0.25
2020,구로구,0.24,0.27,0.11,0.08,0.44,2.62,0.25,0.31
2020,금천구,0.23,0.2,0.11,0.08,0.34,2.19,0.15,0.33
2020,영등포구,0.38,0.31,0.12,0.14,0.45,3.01,0.19,0.36
2020,동작구,0.31,0.27,0.11,0.12,0.39,2.67,0.15,0.4
2020,관악구,0.36,0.27,0.13,0.07,0.42,2.46,0.17,0.27
2020,서초구,0.35,0.34,0.22,0.13,0.45,2.41,0.18,0.25
2020,강남구,0.67,0.51,0.3,0.17,0.63,3.27,0.26,0.47
2020,송파구,0.39,0.33,0.13,0.1,0.39,2.89,0.17,0.44
2020,강동구,0.25,0.16,0.07,0.06,0.33,2.07,0.12,0.23
